IDTC;DDCC
25525;09/11/2001
101257;12/11/2001
112121;23/11/1987
99028;27/10/1987
97235;28/11/1985
129990;20/11/2001
66495;21/11/2001
85348;24/01/2000
129078;06/05/2000
140012;05/12/1981
95674;26/08/1986
123687;31/01/2000
20404;26/01/2000
32155;26/01/2000
74977;09/03/2004
61750;08/03/2004
93860;10/02/2000
103985;05/06/2000
18392;19/01/2000
105935;10/08/2004
75405;01/08/2003
103513;10/12/2002
101880;12/12/2002
51573;19/02/2003
75554;05/12/2002
62115;11/12/2002
117908;14/12/2002
35377;16/12/2002
43163;08/01/2003
146680;07/01/2003
129445;31/05/2005
54247;13/12/2001
85593;11/01/2003
51004;18/10/2000
81899;01/10/2000
42668;12/10/2000
59120;26/03/2001
49436;18/09/1996
46171;21/11/2005
39983;13/10/2000
2230;13/10/2000
29183;18/12/2001
34742;02/11/1992
34745;07/10/1990
34745;04/09/1990
34739;14/05/1990
115027;24/11/2005
34885;21/06/2002
5083;18/12/2001
8042;18/12/2001
67564;18/12/2001
34744;06/02/1989
76708;18/12/2001
21081;30/12/1994
19876;21/08/1991
64945;16/12/2001
21187;29/06/1988
114890;11/07/1973
22695;09/05/1986
22671;15/01/1985
10772;31/07/1973
578;14/12/2001
88384;03/08/2005
7903;27/06/2005
146183;08/06/2005
127163;08/08/2005
15434;05/08/2005
31025;24/05/2005
146050;21/05/2005
109055;10/08/2005
109056;12/08/2005
94270;24/08/2005
142513;12/05/2005
30592;19/05/2005
138577;23/05/2005
95695;30/05/2005
92407;12/05/2005
102192;19/07/2005
45693;01/07/2002
23215;08/07/2002
129067;27/05/2005
30998;28/04/2005
22156;12/04/2005
95687;28/05/1985
97948;31/12/2001
19740;09/02/1984
14678;30/01/1979
19740;14/11/1975
80774;28/01/2005
20038;20/12/2001
98967;28/12/2001
54038;27/02/2005
27324;03/02/2003
8578;02/02/2003
58160;20/02/2003
86221;23/05/1992
86029;27/01/1992
84720;11/02/2003
46838;22/01/2003
28637;12/01/2003
124442;23/01/2003
86230;23/08/1990
66694;16/11/2001
28583;18/01/2002
129987;14/01/2003
94100;09/05/1989
62517;26/05/2001
144291;23/07/2001
23089;13/01/2003
143575;06/01/2003
54389;17/01/2003
108798;13/01/2003
7530;18/11/2002
4727;28/01/2003
